ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chassis_type,Dimensions,Color,Compatibility
1,https://www.jimms.fi/fi/Product/Show/179823/lc-ii-mesh-c-performance-black/lian-li-lancool-ii-mesh-c-performance-ikkunallinen-miditornikotelo-musta,129.9,Lancool ii mesh c performance,Lian Li,CHASSIS_374094-ig800gg.jpg,https://ic.jimms.fi/product/9/5/374094-ig800gg.jpg,Atx midi- ja mini-tornikotelot,478 x 229 x 494 mm,Musta,E-atx/atx (leveys: alle 280mm) / matx / itx
2,https://www.jimms.fi/fi/Product/Show/194028/observatory-hf-glass-white/kolink-observatory-hf-glass-argb-ikkunallinen-miditornikotelo-valkoinen,56.9,Observatory hf glass argb,Kolink,CHASSIS_456057-ig800gg.jpg,https://ic.jimms.fi/product/5/2/456057-ig800gg.jpg,Atx midi- ja mini-tornikotelot,390 x 200 x 449 mm,Musta,Mini-itx / micro-atx / atx
3,https://www.jimms.fi/fi/Product/Show/193387/lancool216x/lian-li-lancool-216-ikkunallinen-miditornikotelo-musta,99.9,Lancool 216,Lian Li,CHASSIS_445843-ig800gg.jpg,https://ic.jimms.fi/product/4/6/445843-ig800gg.jpg,Atx midi- ja mini-tornikotelot,"480,9 x 235 x 491,7 mm",Musta,E-atx (alle 280 mm) / atx / micro-atx / mini-itx
4,https://www.jimms.fi/fi/Product/Show/174511/fd-c-tor1a-05/fractal-design-torrent-black-solid-miditornikotelo-musta,234.9,Torrent - black solid,Fractal Design,CHASSIS_347089-ig800gg.jpg,https://ic.jimms.fi/product/8/0/347089-ig800gg.jpg,Atx midi- ja mini-tornikotelot,544 x 242 x 530 mm,,E-atx / atx / matx / itx / ssi-eeb / ssi-ceb
5,https://www.jimms.fi/fi/Product/Show/186566/cc-h51eb-01/nzxt-h5-elite-all-black-ikkunallinen-miditornikotelo-musta,154.9,H5 elite - all black,NZXT,CHASSIS_411050-ig800gg.jpg,https://ic.jimms.fi/product/5/9/411050-ig800gg.jpg,Atx midi- ja mini-tornikotelot,,,"Atx, micro-atx, mini-itx"
6,https://www.jimms.fi/fi/Product/Show/189102/cm-h91eb-01/nzxt-h9-elite-ikkunallinen-miditornikotelo-mattamusta,287,H9 elite,NZXT,CHASSIS_424270-ig800gg.jpg,https://ic.jimms.fi/product/7/9/424270-ig800gg.jpg,Miditorni,495 x 290 x 466 mm,,"Mini-itx, micro-atx, atx"
7,https://www.jimms.fi/fi/Product/Show/190754/cc-9011244-ww/corsair-2000d-airflow-mini-itx-kotelo-musta,129.9,2000d airflow,Corsair,CHASSIS_445787-ig800gg.jpg,https://ic.jimms.fi/product/8/2/445787-ig800gg.jpg,Mini-itx/mini-stx,271 x 200 x 458 mm,,Mini-itx
8,https://www.jimms.fi/fi/Product/Show/185898/lancool-205m-mesh-snow/lian-li-lancool-205m-mesh-snow-ikkunallinen-matx-kotelo-valkoinen,83.9,Lancool 205m mesh - snow,Lian Li,CHASSIS_409548-ig800gg.jpg,https://ic.jimms.fi/product/4/1/409548-ig800gg.jpg,Matx,,Valkoinen,Micro atx / mini-itx
9,https://www.jimms.fi/fi/Product/Show/161698/bgw38/be-quiet-pure-base-500dx-white-ikkunallinen-tornikotelo-valkoinen,129.9,Pure base 500dx - white,be quiet!,CHASSIS_281992-ig800gg.jpg,https://ic.jimms.fi/product/9/7/281992-ig800gg.jpg,Atx midi- ja mini-tornikotelot,Poislukien jalat: 450 x 232 x 443 mm,Valkoinen,Atx ps/2 (ei sisälly)
10,https://www.jimms.fi/fi/Product/Show/191343/d31-mesh-white/jonsbo-d31-mesh-white-ikkunallinen-matx-kotelo-valkoinen,64.9,D31 mesh white,Jonsbo,CHASSIS_434996-ig800gg.jpg,https://ic.jimms.fi/product/9/3/434996-ig800gg.jpg,Matx,205 x 363 x 452 mm,,Itx / dtx / m-atx
11,https://www.jimms.fi/fi/Product/Show/153290/nimbus-rgb/kolink-nimbus-rgb-valaistu-ikkunallinen-miditornikotelo-musta,54.9,Nimbus,Kolink,CHASSIS_250720-ig800gg.jpg,https://ic.jimms.fi/product/2/9/250720-ig800gg.jpg,Atx midi- ja mini-tornikotelot,,Musta,"Atx, micro-atx, mini-itx"
12,https://www.jimms.fi/fi/Product/Show/172893/accs-pv20013-11/aerocool-bolt-mini-tempered-glass-ikkunallinen-minitornikotelo-musta,48.9,Bolt mini tempered glass,Aerocool,CHASSIS_338982-ig800gg.jpg,https://ic.jimms.fi/product/8/7/338982-ig800gg.jpg,Minitorni,"200,7 x 369,5 x 381,05 mm",Musta,Micro atx / mini-itx
13,https://www.jimms.fi/fi/Product/Show/181386/r-ck560-bkaae4-g-1/deepcool-ck560-ikkunallinen-miditornikotelo-musta,106.9,Ck560,DeepCool,CHASSIS_383103-ig800gg.jpg,https://ic.jimms.fi/product/0/6/383103-ig800gg.jpg,Atx midi- ja mini-tornikotelot,456 x 230 x 471 mm,,Mini-itx / micro-atx / atx / e-atx
