ID,Url,Price,Name,Manufacturer,Image,Image_Url,Core_Count,Thread_Count,Base_Clock,Cache,Socket,Cpu_Cooler,TDP,Integrated_GPU
1,https://www.jimms.fi/fi/Product/Show/188803/100-100000910wof/amd-ryzen-7-7800x3d-am5-4-2-ghz-8-core-wof,439.9,Ryzen 7 7800x3d,AMD,CPU_428633-ig800gg.jpg,https://ic.jimms.fi/product/3/6/428633-ig800gg.jpg,8,16,4.2 ghz,96mb,Am5,,120w,Amd radeon graphics
2,https://www.jimms.fi/fi/Product/Show/184475/bx8071513600kf/intel-core-i5-13600kf-lga1700-3-50-ghz-24mb-boxed,340.9,Core i5-13600kf,Intel,CPU_405407-ig800gg.jpg,https://ic.jimms.fi/product/0/2/405407-ig800gg.jpg,14 (6p + 8e),20,"3.50 ghz (base, p-core) / 2.60 ghz (base, e-core)",24 mb,Lga1700,,125w,
3,https://www.jimms.fi/fi/Product/Show/161257/bx8070110400f/intel-core-i5-10400f-lga1200-2-90-ghz-12mb-boxed,113.9,Core i5-10400f,Intel,CPU_286776-ig800gg.jpg,https://ic.jimms.fi/product/7/3/286776-ig800gg.jpg,6,12,2.90 ghz,12mb,Lga1200,,65w,
4,https://www.jimms.fi/fi/Product/Show/161261/bx8070110600k/intel-core-i5-10600k-lga1200-4-10-ghz-12mb-boxed,170.9,Core i5-10600k,Intel,CPU_286777-ig800gg.jpg,https://ic.jimms.fi/product/7/2/286777-ig800gg.jpg,6,12,4.10 ghz,12mb,Lga1200,,125w,Intel® uhd graphics 630
5,https://www.jimms.fi/fi/Product/Show/169827/bx80701g6405/intel-pentium-gold-g6405-lga1200-4-10-ghz-4mb-boxed,76.9,Pentium gold g6405,Intel,CPU_332829-ig800gg.jpg,https://ic.jimms.fi/product/2/0/332829-ig800gg.jpg,2,4,4.10 ghz (base),4mb,Lga1200,,58w,Intel uhd graphics 610
6,https://www.jimms.fi/fi/Product/Show/121966/bx80660e52620v4/intel-xeon-e5-2620-v4-2-1-ghz-lga2011-v3-boxed,505.9,Xeon e5-2620 v4 2,Intel,CPU_142535-ig800gg.jpg,https://ic.jimms.fi/product/3/4/142535-ig800gg.jpg,8,,"2,1 ghz",,Fclga2011-v3,,85w,
7,https://www.jimms.fi/fi/Product/Show/122549/bx80660e52650v4/intel-xeon-e5-2650-v4-lga2011-3-2-2ghz-30mb-boxed,1418.9,Xeon e5-2650 v4,Intel,CPU_144068-ig800gg.jpg,https://ic.jimms.fi/product/6/1/144068-ig800gg.jpg,12,24,2.20 ghz,30 mb,Lga2011-3,,105 w,
8,https://www.jimms.fi/fi/Product/Show/187555/100-000000804/amd-epyc-9554p-sp5-3-10-ghz-64-core-tray,6742.9,Epyc 9554p,AMD,CPU_416107-ig800gg.jpg,https://ic.jimms.fi/product/0/2/416107-ig800gg.jpg,64,128,3.1 ghz,256 mb,Sp5,,360 w,
9,https://www.jimms.fi/fi/Product/Show/123435/bx80660e52697v4/intel-xeon-e5-2697-v4-lga2011-3-2-3ghz-45mb-boxed,3225.9,Xeon e5-2697 v4,Intel,CPU_146330-ig800gg.jpg,https://ic.jimms.fi/product/3/9/146330-ig800gg.jpg,18,36,2.30 ghz,45 mb,Lga2011-3,,145 w,
10,https://www.jimms.fi/fi/Product/Show/154681/bx806733106/intel-xeon-bronze-3106-lga3647-1-70-ghz-11mb-boxed,384.9,Xeon bronze 3106,Intel,CPU_255899-ig800gg.jpg,https://ic.jimms.fi/product/9/0/255899-ig800gg.jpg,8,8,1.70 ghz,11 mb,Lga3647,,85w,
11,https://www.jimms.fi/fi/Product/Show/187563/100-000000805/amd-epyc-9354p-sp5-3-25-ghz-32-core-tray,3217.9,Epyc 9354p,AMD,CPU_416138-ig800gg.jpg,https://ic.jimms.fi/product/3/1/416138-ig800gg.jpg,32,64,3.25 ghz,256 mb,Sp5,,280 w,
12,https://www.jimms.fi/fi/Product/Show/181374/100-000000043/amd-epyc-7302-sp3-3-0-ghz-128mb-tray,838.9,Epyc 7302,AMD,CPU_383066-ig800gg.jpg,https://ic.jimms.fi/product/6/3/383066-ig800gg.jpg,16,32,3 ghz,128 mt,Sp3,,155 w,
13,https://www.jimms.fi/fi/Product/Show/169817/bx8070811700f/intel-core-i7-11700f-lga1200-2-50-ghz-16mb-boxed,224.9,Core i7-11700f,Intel,CPU_329944-ig800gg.jpg,https://ic.jimms.fi/product/4/5/329944-ig800gg.jpg,8,16,2.50 ghz (base),16mb,Lga1200,,65w,
14,https://www.jimms.fi/fi/Product/Show/176050/bx8071512600k/intel-core-i5-12600k-lga1700-3-70-ghz-20mb-boxed,259.9,Core i5-12600k,Intel,CPU_356326-ig800gg.jpg,https://ic.jimms.fi/product/2/3/356326-ig800gg.jpg,10 (6p + 4e),16,3.70 ghz (base),20mb,Lga1700,,125w,Intel® uhd graphics 770
15,https://www.jimms.fi/fi/Product/Show/180898/100-100000651wof/amd-ryzen-7-5800x3d-am4-3-4-ghz-8-core-boxed,359.9,Ryzen 7 5800x3d,AMD,CPU_380811-ig800gg.jpg,https://ic.jimms.fi/product/1/8/380811-ig800gg.jpg,8,16,3.4 ghz,96mb,Am4,,105w,
16,https://www.jimms.fi/fi/Product/Show/169828/bx80701g5905/intel-celeron-g5905-lga1200-3-50-ghz-4mb-boxed,50.9,Celeron g5905,Intel,CPU_332825-ig800gg.jpg,https://ic.jimms.fi/product/2/4/332825-ig800gg.jpg,2,2,3.50 ghz (base),4mb,Lga1200,,58w,Intel® uhd graphics 610
17,https://www.jimms.fi/fi/Product/Show/184605/100-100000593wof/amd-ryzen-5-7600x-am5-4-7-ghz-6-core-wof,269.9,Ryzen 5 7600x,AMD,CPU_416523-ig800gg.jpg,https://ic.jimms.fi/product/2/6/416523-ig800gg.jpg,6,12,4.7 ghz,32mb,Am5,,105w,Amd radeon graphics
18,https://www.jimms.fi/fi/Product/Show/161265/bx8070110700k/intel-core-i7-10700k-lga1200-3-80-ghz-16mb-boxed,297.9,Core i7-10700k,Intel,CPU_286790-ig800gg.jpg,https://ic.jimms.fi/product/9/9/286790-ig800gg.jpg,8,16,3.80 ghz,16mb,Lga1200,,125w,Intel® uhd graphics 630
19,https://www.jimms.fi/fi/Product/Show/188074/100-100000592box/amd-ryzen-7-7700-am5-3-8-ghz-8-core-boxed,364.9,Ryzen 7 7700,AMD,CPU_423376-ig800gg.jpg,https://ic.jimms.fi/product/7/3/423376-ig800gg.jpg,8,16,3.8 ghz,32mb,Am5,,65w,Amd radeon graphics
20,https://www.jimms.fi/fi/Product/Show/190589/cm8071505092101/intel-core-i3-13100t-lga1700-2-50-ghz-12mb-tray,161.9,Core i3-13100t,Intel,CPU_430715-ig800gg.jpg,https://ic.jimms.fi/product/1/4/430715-ig800gg.jpg,4 (4p + 0e),8,"2.50 ghz (base, p-core)",12mb,Lga1700,,35w,Intel® uhd graphics 730
21,https://www.jimms.fi/fi/Product/Show/187562/100-000000792/amd-epyc-9374f-sp5-3-85-ghz-32-core-tray,5812.9,Epyc 9374f,AMD,CPU_416135-ig800gg.jpg,https://ic.jimms.fi/product/3/4/416135-ig800gg.jpg,32,64,3.85 ghz,256 mb,Sp5,,320 w,
22,https://www.jimms.fi/fi/Product/Show/192032/cd8068904691101/intel-xeon-w-3345-lga4189-3-00ghz-36mb-tray,3485.9,Xeon w-3345,Intel,CPU_439492-ig800gg.jpg,https://ic.jimms.fi/product/9/7/439492-ig800gg.jpg,24 ydintä,48,3 ghz,36 mt,Lga4189,,250 w,
23,https://www.jimms.fi/fi/Product/Show/180654/100-000000078/amd-epyc-7282-sp3-2-8-ghz-64mb-tray,678.9,Epyc 7282,AMD,CPU_378518-ig800gg.jpg,https://ic.jimms.fi/product/1/1/378518-ig800gg.jpg,16,32,2.8 ghz,64 mb,Sp3,,120 w,
24,https://www.jimms.fi/fi/Product/Show/161264/bx8070110700f/intel-core-i7-10700f-lga1200-2-90-ghz-16mb-boxed,217.9,Core i7-10700f,Intel,CPU_288743-ig800gg.jpg,https://ic.jimms.fi/product/4/6/288743-ig800gg.jpg,8,16,2.90 ghz,16mb,Lga1200,,65w,
25,https://www.jimms.fi/fi/Product/Show/195759/bx8071514700kf/intel-core-i7-14700kf-lga1700-3-40-ghz-33mb-boxed,479.9,Core i7-14700kf,Intel,CPU_464822-ig800gg.jpg,https://ic.jimms.fi/product/2/7/464822-ig800gg.jpg,20 (8p + 12e),28,"3.4 ghz (base, p-core) / 2.5 ghz (base, e-core)",33 mb,Lga1700,,125w,
26,https://www.jimms.fi/fi/Product/Show/192038/pk8071305082000/intel-xeon-w5-3435x-lga4677-3-10ghz-45mb-tray,2232.9,Xeon w5-3435x,Intel,CPU_439510-ig800gg.jpg,https://ic.jimms.fi/product/1/9/439510-ig800gg.jpg,"16 (16 p-core, 0 e-core)",32,3.10 ghz (base),45 mb intel smart cache,Lga4677,,270 w,
