ID,Url,Price,Name,Manufacturer,Image,Image_Url,Type,Amount,Speed,Latency
1,https://www.jimms.fi/fi/Product/Show/184849/kf560c36bbek2-32/kingston-32gb-2-x-16gb-fury-beast-ddr5-6000mhz-cl36-1-35v-musta,144.9,32gb (2 x 16gb) fury beast ddr5,Kingston,RAM_402880-ig800gg.jpg,https://ic.jimms.fi/product/8/9/402880-ig800gg.jpg,Ddr5,32gb (2 x 16gb),6000 mt/s,Cl36
2,https://www.jimms.fi/fi/Product/Show/195778/cmk32gx5m2b5600c40/corsair-32gb-2-x-16gb-vengeance-ddr5-5600mhz-cl40-1-25v-musta-harmaa,119.9,32gb (2 x 16gb) vengeance,Corsair,RAM_459714-ig800gg.jpg,https://ic.jimms.fi/product/1/5/459714-ig800gg.jpg,Ddr5,32gb (2 x 16gb),Ddr5-5600,40-40-40-77
3,https://www.jimms.fi/fi/Product/Show/196045/cmk32gx5m2b5600z40/corsair-32gb-2-x-16gb-vengeance-ddr5-5600mhz-cl40-1-25v-harmaa,114.9,32gb (2 x 16gb) vengeance,Corsair,RAM_461567-ig800gg.jpg,https://ic.jimms.fi/product/6/2/461567-ig800gg.jpg,Ddr5,32gb (2 x 16gb),Ddr5-5600,40-40-40-77
4,https://www.jimms.fi/fi/Product/Show/178285/kf556c40bbk2-32/kingston-32gb-2-x-16gb-fury-beast-ddr5-5600mhz-cl40-1-25v-musta,139.9,32gb (2 x 16gb) fury beast,Kingston,RAM_366793-ig800gg.jpg,https://ic.jimms.fi/product/9/6/366793-ig800gg.jpg,Ddr5,32gb (2 x 16gb),5600 mhz,Cl40
5,https://www.jimms.fi/fi/Product/Show/136315/cmsx16gx4m1a2400c16/corsair-16gb-1-x-16gb-vengeance-performance-ddr4-2400mhz-so-dimm-cl16-1-2v,50.9,16gb (1 x 16gb) vengeance performance,Corsair,RAM_183418-ig800gg.jpg,https://ic.jimms.fi/product/1/1/183418-ig800gg.jpg,Ddr4 so-dimm 260-pin,,2400mhz,16-16-16-39
6,https://www.jimms.fi/fi/Product/Show/173923/kf436c18rbk2-64/kingston-64gb-2-x-32gb-fury-renegade-ddr4-3600mhz-cl18-1-35v-musta,190.9,64gb (2 x 32gb) fury renegade,Kingston,RAM_344167-ig800gg.jpg,https://ic.jimms.fi/product/6/2/344167-ig800gg.jpg,Ddr4,64gb (2 x 32gb),3600mhz,Cl18 (18-22-22)
7,https://www.jimms.fi/fi/Product/Show/173824/kf436c18bbk2-32/kingston-32gb-2-x-16gb-fury-beast-ddr4-3600mhz-cl18-1-35v-musta,97.9,32gb (2 x 16gb) fury beast,Kingston,RAM_343896-ig800gg.jpg,https://ic.jimms.fi/product/9/3/343896-ig800gg.jpg,Ddr4,32gb (2 x 16gb),3600mhz,Cl18 (18-22-22)
8,https://www.jimms.fi/fi/Product/Show/184848/kf560c36bbe-16/kingston-16gb-1-x-16gb-fury-beast-ddr5-6000mhz-cl36-1-35v-musta,78.9,16gb (1 x 16gb) fury beast ddr5,Kingston,RAM_402868-ig800gg.jpg,https://ic.jimms.fi/product/6/1/402868-ig800gg.jpg,Ddr5,16gb (1 x 16gb),6000 mt/s,Cl36
9,https://www.jimms.fi/fi/Product/Show/186075/cmh32gx5m2b5600z36k/corsair-32gb-2-x-16gb-vengeance-rgb-ddr5-5600mhz-cl36-1-25v-harmaa,144.9,32gb (2 x 16gb) vengeance rgb,Corsair,RAM_407902-ig800gg.jpg,https://ic.jimms.fi/product/0/7/407902-ig800gg.jpg,Ddr5,32gb (2 x 16gb),Ddr5-5600,36-36-36-76
10,https://www.jimms.fi/fi/Product/Show/190303/cmk96gx5m2b5200c38/corsair-96gb-2-x-48gb-vengeance-ddr5-5200mhz-cl38-1-25v-musta-harmaa,338.9,96gb (2 x 48gb) vengeance,Corsair,RAM_429104-ig800gg.jpg,https://ic.jimms.fi/product/0/5/429104-ig800gg.jpg,Ddr5,96gb (2 x 48gb),Ddr5-5200,38-38-38-84
