ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chipset,Form_Factor,Memory_Compatibility
1,https://www.jimms.fi/fi/Product/Show/162758/tuf-gaming-b550-plus/asus-tuf-gaming-b550-plus-atx-emolevy,144.9,Tuf gaming b550-plus,Asus,MOBO_288210-ig800gg.jpg,https://ic.jimms.fi/product/1/9/288210-ig800gg.jpg,Amd b550,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
2,https://www.jimms.fi/fi/Product/Show/187045/b650-gaming-x-ax/gigabyte-b650-gaming-x-ax-atx-emolevy,229.9,B650 gaming x ax,Gigabyte,MOBO_413018-ig800gg.jpg,https://ic.jimms.fi/product/1/1/413018-ig800gg.jpg,Amd b650,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
3,https://www.jimms.fi/fi/Product/Show/184241/rog-strix-x670e-f-gaming-wifi/asus-rog-strix-x670e-f-gaming-wifi-atx-emolevy,434.9,Rog strix x670e-f gaming wifi,Asus,MOBO_405253-ig800gg.jpg,https://ic.jimms.fi/product/5/6/405253-ig800gg.jpg,Amd x670,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
4,https://www.jimms.fi/fi/Product/Show/151131/b450m-hdv-r4-0/asrock-b450m-hdv-r4-0-matx-emolevy,68.9,B450m-hdv r4.0,ASRock,MOBO_241446-ig800gg.jpg,https://ic.jimms.fi/product/4/3/241446-ig800gg.jpg,Amd b450,"Micro atx (23,0 x 20,1 cm)",Dual channel ddr4 -muistiteknologia
5,https://www.jimms.fi/fi/Product/Show/178047/prime-b550m-a-wifi-ii/asus-prime-b550m-a-wifi-ii-matx-emolevy,142.9,Prime b550m-a wifi ii,Asus,MOBO_365703-ig800gg.jpg,https://ic.jimms.fi/product/0/6/365703-ig800gg.jpg,Amd b550,"Microatx (24,4 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
6,https://www.jimms.fi/fi/Product/Show/184243/rog-strix-x670e-i-gaming-wifi/asus-rog-strix-x670e-i-gaming-wifi-mini-itx-emolevy,479.9,Rog strix x670e-i gaming wifi,Asus,MOBO_405256-ig800gg.jpg,https://ic.jimms.fi/product/5/3/405256-ig800gg.jpg,Amd x670,Mini-itx (17 x 17 cm),2 x ddr5 dimm maks. 64gb
7,https://www.jimms.fi/fi/Product/Show/191865/a620m-pro-rs-wifi/asrock-a620m-pro-rs-wifi-matx-emolevy,154.9,A620m pro rs wifi,ASRock,MOBO_438688-ig800gg.jpg,https://ic.jimms.fi/product/8/1/438688-ig800gg.jpg,Amd a620,"Micro atx (24,4 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
8,https://www.jimms.fi/fi/Product/Show/185800/z790-pg-riptide/asrock-z790-pg-riptide-atx-emolevy,256.9,Z790 pg riptide,ASRock,MOBO_405997-ig800gg.jpg,https://ic.jimms.fi/product/9/2/405997-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
9,https://www.jimms.fi/fi/Product/Show/197058/pro-h510m-b/msi-pro-h510m-b-matx-emolevy,73.9,Pro h510m-b,MSI,MOBO_467491-ig800gg.jpg,https://ic.jimms.fi/product/9/8/467491-ig800gg.jpg,Intel h510,Matx (202 x 236 mm),2 x ddr4 maks. 64gb
10,https://www.jimms.fi/fi/Product/Show/188729/b760-aorus-elite-ax/gigabyte-b760-aorus-elite-ax-atx-emolevy,269.9,B760 aorus elite ax,Gigabyte,MOBO_421916-ig800gg.jpg,https://ic.jimms.fi/product/1/3/421916-ig800gg.jpg,Intel b760,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 128gb
11,https://www.jimms.fi/fi/Product/Show/184247/prime-x670e-pro-wifi/asus-prime-x670e-pro-wifi-atx-emolevy,383.9,Prime x670e-pro wifi,Asus,MOBO_405144-ig800gg.jpg,https://ic.jimms.fi/product/4/5/405144-ig800gg.jpg,Amd x670,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
12,https://www.jimms.fi/fi/Product/Show/178137/rog-strix-b660-a-gaming-wifid4/asus-rog-strix-b660-a-gaming-wifi-d4-atx-emolevy,278.9,Rog strix b660-a gaming wifi d4,Asus,MOBO_369776-ig800gg.jpg,https://ic.jimms.fi/product/7/3/369776-ig800gg.jpg,Intel b660,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
13,https://www.jimms.fi/fi/Product/Show/179002/h670-steel-legend/asrock-h670-steel-legend-atx-emolevy,199.9,H670 steel legend,ASRock,MOBO_370265-ig800gg.jpg,https://ic.jimms.fi/product/6/4/370265-ig800gg.jpg,Intel h670,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
14,https://www.jimms.fi/fi/Product/Show/196390/z790-aorus-elite-ax-ice/gigabyte-z790-aorus-elite-ax-ice-atx-emolevy,339.9,Z790 aorus elite ax ice,Gigabyte,MOBO_463547-ig800gg.jpg,https://ic.jimms.fi/product/4/2/463547-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 192gb
15,https://www.jimms.fi/fi/Product/Show/178142/tuf-gaming-b660m-e-d4/asus-tuf-gaming-b660m-e-d4-matx-emolevy,171.9,Tuf gaming b660m-e d4,Asus,MOBO_369796-ig800gg.jpg,https://ic.jimms.fi/product/9/3/369796-ig800gg.jpg,Intel b660,"Matx (24,4 x 24,4 cm)",4 x ddr4 maks. 128gb
16,https://www.jimms.fi/fi/Product/Show/195377/z790-aorus-elite-x-wifi7/gigabyte-z790-aorus-elite-x-wifi7-atx-emolevy,390.9,Z790 aorus elite x wifi7,Gigabyte,MOBO_457680-ig800gg.jpg,https://ic.jimms.fi/product/8/9/457680-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 192gb
17,https://www.jimms.fi/fi/Product/Show/196346/mpg-z790-carbon-max-wifi/msi-mpg-z790-carbon-max-wifi-atx-emolevy,468.9,Mpg z790 carbon max wifi,MSI,MOBO_463286-ig800gg.jpg,https://ic.jimms.fi/product/8/3/463286-ig800gg.jpg,Intel z790,"Atx (243,84 x 304,8 mm)",4 x ddr5 maks. 192gb
18,https://www.jimms.fi/fi/Product/Show/197195/b650-gaming-x/gigabyte-b650-gaming-x-atx-emolevy,231.9,B650 gaming x,Gigabyte,MOBO_468437-ig800gg.jpg,https://ic.jimms.fi/product/3/2/468437-ig800gg.jpg,Amd b650,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 192gb
19,https://www.jimms.fi/fi/Product/Show/197080/pro-a620m-dash-csm/asus-pro-a620m-dash-csm-matx-emolevy,123,Pro a620m-dash-csm,Asus,MOBO_467581-ig800gg.jpg,https://ic.jimms.fi/product/8/8/467581-ig800gg.jpg,Amd a620,"Micro-atx (22,6 x 22,1 cm)",2 x ddr5 maks. 96gb
20,https://www.jimms.fi/fi/Product/Show/187102/z790-d-ddr4/gigabyte-z790-d-ddr4-atx-emolevy,227.9,Z790 d ddr4,Gigabyte,MOBO_413403-ig800gg.jpg,https://ic.jimms.fi/product/0/6/413403-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr4 maks. 128gb
21,https://www.jimms.fi/fi/Product/Show/188726/b760m-ds3h-ddr4/gigabyte-b760m-ds3h-ddr4-matx-emolevy,120.9,B760m ds3h ddr4,Gigabyte,MOBO_421901-ig800gg.jpg,https://ic.jimms.fi/product/0/8/421901-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 24,4 cm)",4 x ddr4 maks. 128gb
22,https://www.jimms.fi/fi/Product/Show/189483/b760m-itx-d4-wifi/asrock-b760m-itx-d4-wifi-mini-itx-emolevy,163.9,B760m-itx/d4 wifi,ASRock,MOBO_424828-ig800gg.jpg,https://ic.jimms.fi/product/2/1/424828-ig800gg.jpg,Intel b760,"Mini-itx (17,0 x 17,0 cm)",2 x ddr4 maks. 64gb
23,https://www.jimms.fi/fi/Product/Show/185938/b650m-aorus-elite-ax/gigabyte-b650m-aorus-elite-ax-matx-emolevy,279.9,B650m aorus elite ax,Gigabyte,MOBO_406980-ig800gg.jpg,https://ic.jimms.fi/product/8/9/406980-ig800gg.jpg,Amd b650,"Micro atx (24,4 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
24,https://www.jimms.fi/fi/Product/Show/162824/b550-phantom-gaming-4/asrock-b550-phantom-gaming-4-atx-emolevy,115.9,B550 phantom gaming 4,ASRock,MOBO_288442-ig800gg.jpg,https://ic.jimms.fi/product/4/7/288442-ig800gg.jpg,Amd b550,"Atx (30,5 x 24,4 cm)",Dual channel ddr4 memory technology
25,https://www.jimms.fi/fi/Product/Show/185530/rog-strix-b650e-i-gaming-wifi/asus-rog-strix-b650e-i-gaming-wifi-mini-itx-emolevy,319.9,Rog strix b650e-i gaming wifi,Asus,MOBO_406899-ig800gg.jpg,https://ic.jimms.fi/product/9/0/406899-ig800gg.jpg,Amd b650,Mini-itx (17 x 17 cm),2 x ddr5 dimm maks. 64gb
26,https://www.jimms.fi/fi/Product/Show/182895/rog-crosshair-x670e-extreme/asus-rog-crosshair-x670e-extreme-e-atx-emolevy,1171.9,Rog crosshair x670e extreme,Asus,MOBO_405179-ig800gg.jpg,https://ic.jimms.fi/product/7/0/405179-ig800gg.jpg,Amd x670,"Eatx (30,5 x 27,7 cm)",4 x ddr5 dimm maks. 128gb
27,https://www.jimms.fi/fi/Product/Show/196049/b760m-hdv-m-2/asrock-b760m-hdv-m-2-matx-emolevy,125.9,B760m-hdv/m.2,ASRock,MOBO_461324-ig800gg.jpg,https://ic.jimms.fi/product/2/5/461324-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 20,1 cm)",2 x ddr5 maks. 96gb
28,https://www.jimms.fi/fi/Product/Show/176073/proart-z690-creator-wifi/asus-proart-z690-creator-wifi-atx-emolevy,628.9,Proart z690-creator wifi,Asus,MOBO_358870-ig800gg.jpg,https://ic.jimms.fi/product/7/9/358870-ig800gg.jpg,Intel z690,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 128gb
29,https://www.jimms.fi/fi/Product/Show/162752/rog-strix-b550-e-gaming/asus-rog-strix-b550-e-gaming-atx-emolevy,312.9,Rog strix b550-e gaming,Asus,MOBO_288184-ig800gg.jpg,https://ic.jimms.fi/product/8/5/288184-ig800gg.jpg,Amd b550,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
30,https://www.jimms.fi/fi/Product/Show/187098/z790-gaming-x/gigabyte-z790-gaming-x-atx-emolevy,274.9,Z790 gaming x,Gigabyte,MOBO_413391-ig800gg.jpg,https://ic.jimms.fi/product/9/8/413391-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 128gb
31,https://www.jimms.fi/fi/Product/Show/191866/a620m-pro-rs/asrock-a620m-pro-rs-matx-emolevy,138.9,A620m pro rs,ASRock,MOBO_438691-ig800gg.jpg,https://ic.jimms.fi/product/9/8/438691-ig800gg.jpg,Amd a620,"Micro atx (24,4 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
32,https://www.jimms.fi/fi/Product/Show/188703/mag-b760-tomahawk-wifi-ddr4/msi-mag-b760-tomahawk-wifi-ddr4-atx-emolevy,217.9,Mag b760 tomahawk wifi ddr4,MSI,MOBO_421672-ig800gg.jpg,https://ic.jimms.fi/product/7/7/421672-ig800gg.jpg,Intel b760,"Atx (243,84 x 304,8 mm)",4 x ddr4 maks. 128gb
33,https://www.jimms.fi/fi/Product/Show/189146/b760m-steel-legend-wifi/asrock-b760m-steel-legend-wifi-matx-emolevy,201.9,B760m steel legend wifi,ASRock,MOBO_424805-ig800gg.jpg,https://ic.jimms.fi/product/0/4/424805-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 24,4 cm)",Dual channel ddr5 memory technology: 4 x ddr5 dimm slots: supports ddr5 non-ecc un-buffered memory up to 7200+(oc)*
34,https://www.jimms.fi/fi/Product/Show/185803/z790m-itx-wifi/asrock-z790m-itx-wifi-mini-itx-emolevy,254.9,Z790m-itx wifi,ASRock,MOBO_406012-ig800gg.jpg,https://ic.jimms.fi/product/1/7/406012-ig800gg.jpg,Intel z790,"Mini-itx (17,0 x 17,0 cm)",2 x ddr5 dimm maks. 64gb
35,https://www.jimms.fi/fi/Product/Show/164291/prime-a520m-k/asus-prime-a520m-k-matx-emolevy,79.9,Prime a520m-k,Asus,MOBO_295269-ig800gg.jpg,https://ic.jimms.fi/product/6/0/295269-ig800gg.jpg,Amd a520,"Matx (22,6 x 22,1 cm)",2 x ddr4 dimm maks. 64gb
36,https://www.jimms.fi/fi/Product/Show/185704/tuf-gaming-z790-plus-wifi/asus-tuf-gaming-z790-plus-wifi-atx-emolevy,309.9,Tuf gaming z790-plus wifi,Asus,MOBO_418341-ig800gg.jpg,https://ic.jimms.fi/product/4/8/418341-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
37,https://www.jimms.fi/fi/Product/Show/197072/pro-ws-w680m-ace-se/asus-pro-ws-w680m-ace-se-matx-emolevy,627,Pro ws w680m-ace se,Asus,MOBO_467548-ig800gg.jpg,https://ic.jimms.fi/product/4/1/467548-ig800gg.jpg,Intel w680,"Micro-atx (24,4 x 24,4 cm)",4 x ddr5 maks. 192gb
38,https://www.jimms.fi/fi/Product/Show/197026/a620m-ds3h/gigabyte-a620m-ds3h-matx-emolevy,129.9,A620m ds3h,Gigabyte,MOBO_467274-ig800gg.jpg,https://ic.jimms.fi/product/7/5/467274-ig800gg.jpg,Amd b650,"Micro atx (24,4 x 24,4 cm)",4 x ddr5 dimm maks. 192gb
39,https://www.jimms.fi/fi/Product/Show/152157/prime-x570-p/asus-prime-x570-p-atx-emolevy,235.9,Prime x570-p,Asus,MOBO_246216-ig800gg.jpg,https://ic.jimms.fi/product/1/3/246216-ig800gg.jpg,Amd x570,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
40,https://www.jimms.fi/fi/Product/Show/174864/tuf-gaming-a520m-plus-wifi/asus-tuf-gaming-a520m-plus-wifi-matx-emolevy,115.9,Tuf gaming a520m-plus wifi,Asus,MOBO_348798-ig800gg.jpg,https://ic.jimms.fi/product/9/1/348798-ig800gg.jpg,Amd a520,"Microatx (24,4 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
41,https://www.jimms.fi/fi/Product/Show/188668/tuf-gaming-h770-pro-wifi/asus-tuf-gaming-h770-pro-wifi-atx-emolevy,259.9,Tuf gaming h770-pro wifi,Asus,MOBO_421760-ig800gg.jpg,https://ic.jimms.fi/product/6/9/421760-ig800gg.jpg,Intel h770,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 128gb
42,https://www.jimms.fi/fi/Product/Show/152150/crosshair-viii-hero-wi-fi/asus-rog-crosshair-viii-hero-wi-fi-atx-emolevy,517.9,Rog crosshair viii hero (wi-fi),Asus,MOBO_246218-ig800gg.jpg,https://ic.jimms.fi/product/1/1/246218-ig800gg.jpg,Amd x570,"Atx (30,5 x 24,4 cm)",4 x ddr4 dimm
43,https://www.jimms.fi/fi/Product/Show/196984/b760m-ds3h-ax/gigabyte-b760m-ds3h-ax-matx-emolevy,169,B760m ds3h ax,Gigabyte,MOBO_466929-ig800gg.jpg,https://ic.jimms.fi/product/2/0/466929-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 24,4 cm)",4 x ddr5 maks. 192gb
