ID,Url,Price,Name,Manufacturer,Image,Image_Url,Capacity,Form_Factor,Interface,Cache,Flash,TBW
1,https://www.jimms.fi/fi/Product/Show/170013/mz-v8p2t0bw/samsung-2tb-980-pro-m-2-2280-ssd-levy-m-2-2280-pcie-4-0-nvme-7000-5100-mb-s,149.9,2tb 980 pro,Samsung,STORAGE_323672-ig800gg.jpg,https://ic.jimms.fi/product/7/7/323672-ig800gg.jpg,2 tb,M.2 2280,Pci express 4.0 x4 (nvme),2 gt,,1200 tb
2,https://www.jimms.fi/fi/Product/Show/187598/wds200t3x0e/western-digital-2tb-wd_black-sn770-nvme-ssd-levy-m-2-2280-pcie-4-0-x4-5150-4850-mb-s,134.9,2tb wd_black sn770 nvme ssd -levy,Western Digital,STORAGE_416341-ig800gg.jpg,https://ic.jimms.fi/product/4/8/416341-ig800gg.jpg,2 tb,M.2 2280,Pcie 4.0 x4 (nvme),,,1200 tb
3,https://www.jimms.fi/fi/Product/Show/183387/st16000nm000j/seagate-16tb-exos-x18-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-256mb,295.9,16tb exos x18,Seagate,STORAGE_394068-ig800gg.jpg,https://ic.jimms.fi/product/6/1/394068-ig800gg.jpg,16 tb,"3.5""",Sata 6gb/s,256 mt,,
4,https://www.jimms.fi/fi/Product/Show/137679/ct500mx500ssd1/crucial-500gb-mx500-2-5-ssd-levy-3d-tlc-sata-iii-560-510-mb-s,45.9,500gb mx500,Crucial,STORAGE_187851-ig800gg.jpg,https://ic.jimms.fi/product/5/8/187851-ig800gg.jpg,,"2.5""",Sata 6gbps (sata iii),,Micron 3d tlc nand,180tb tbw (total bytes written)
5,https://www.jimms.fi/fi/Product/Show/186319/sfyrdk-2000g/kingston-2tb-fury-renegade-pcie-4-0-nvme-m-2-ssd-with-heatsink-3d-tlc-7300-7000-mb-s,164.9,2tb fury renegade pcie 4.0 nvme m.2 ssd with heatsink,Kingston,STORAGE_409256-ig800gg.jpg,https://ic.jimms.fi/product/5/3/409256-ig800gg.jpg,2 tb,M.2 2280,Pcie 4.0 nvme,,3d tlc,"2,0 pbw"
6,https://www.jimms.fi/fi/Product/Show/194787/ts1tmte300s/transcend-1tb-300s-ssd-levy-pcie-gen3-x4-nvme-m-2-2230-2000-1650-mb-s,90.9,1tb 300s,Transcend,STORAGE_454345-ig800gg.jpg,https://ic.jimms.fi/product/4/4/454345-ig800gg.jpg,1 tb,2230 (single-sided),Nvme pcie gen3 x4,,3d nand flash,400 tbw
7,https://www.jimms.fi/fi/Product/Show/190769/ssdpfknu020tzx1/solidigm-2tb-p41-plus-ssd-levy-pcie-4-0-x4-nvme-m-2-2280-4125-3325-mb-s,127.9,2tb p41 plus,Solidigm,STORAGE_431771-ig800gg.jpg,https://ic.jimms.fi/product/7/8/431771-ig800gg.jpg,2 tb,M.2 2280,"Pcie 4.0 x4, nvme",,144l 3d nand,800 tbw
8,https://www.jimms.fi/fi/Product/Show/141966/wd4005fzbx/western-digital-4tb-wd-black-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-256mb,272.9,4tb wd black,Western Digital,STORAGE_204537-ig800gg.jpg,https://ic.jimms.fi/product/3/2/204537-ig800gg.jpg,4tb,"3.5""",Sata 6gb/s,256mb,,
9,https://www.jimms.fi/fi/Product/Show/150832/1w10002/western-digital-2tb-ultrastar-dc-ha210-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-128mb,144.9,2tb ultrastar dc ha210,Western Digital,STORAGE_240174-ig800gg.jpg,https://ic.jimms.fi/product/7/5/240174-ig800gg.jpg,2 tb,"3.5""",Sata 6gb/s,128 mb,,
10,https://www.jimms.fi/fi/Product/Show/176802/wd101efbx/western-digital-10tb-wd-red-plus-nas-hdd-sisainen-3-5-kiintolevy-sata-iii-7200rpm-256mb,304.9,10tb wd red plus nas hdd,Western Digital,STORAGE_358841-ig800gg.jpg,https://ic.jimms.fi/product/4/8/358841-ig800gg.jpg,10 tb,"3.5""",Sata 6gb/s,256 mb,,
11,https://www.jimms.fi/fi/Product/Show/78663/wd10juct/western-digital-1tb-av-25-2-5-5400rpm-sata-3gbs-16mb,98.9,1tb av-25,Western Digital,STORAGE_76234-ig800gg.jpg,https://ic.jimms.fi/product/3/5/76234-ig800gg.jpg,,,,16 mt,,
12,https://www.jimms.fi/fi/Product/Show/186081/cssd-f0500gbmp600gs/corsair-500gb-mp600-gs-gen4-pcie-x4-m-2-2280-nvme-ssd-levy-4800-3500-mb-s,48.9,500gb mp600 gs,Corsair,STORAGE_407938-ig800gg.jpg,https://ic.jimms.fi/product/3/1/407938-ig800gg.jpg,500 gt,M.2,,Ei (käyttää hmb:tä),3d tlc,300 tbw
