ID,Url,Price,Name,Manufacturer,Image,Image_Url,Compatibility,Cooling_Potential,Fan_RPM,Noise_Level,Dimensions
1,https://www.jimms.fi/fi/Product/Show/155091/nh-d15-chromax-black/noctua-nh-d15-chromax-black-prosessorijaahdytin,119.9,Nh-d15 chromax.black,Noctua,COOLER_257681-ig800gg.jpg,https://ic.jimms.fi/product/8/8/257681-ig800gg.jpg,Intel lga2066 / lga2011-0 / lga2011-3 (square ilm) / lga115x / lga1700 / lga1200 amd am4 / am5,Katso,1500 rpm,2 x low-noise adaptor (l.n.a.): 4-pin pwm y-kaapeli,160 x 150 x 135 mm
2,https://www.jimms.fi/fi/Product/Show/185986/ey3a005/endorfy-fera-5-prosessorijaahdytin,32.9,Fera 5,Endorfy,COOLER_407307-ig800gg.jpg,https://ic.jimms.fi/product/0/2/407307-ig800gg.jpg,"Lga1700, lga1200, lga1150, lga1151, lga1155, lga1156, lga775, lga2066, lga2011-3, lga2011 (square ilm), lga1366; amd: am5, am4, am3(+), am2(+), fm2(+), fm1",220 w,250 (+/- 100) - 1800 (+/- 10 %) rpm,,155 x 127 x 77 mm
3,https://www.jimms.fi/fi/Product/Show/193260/r-asn4-bknnmt-g/deepcool-assassin-iv-prosessorijaahdytin,104.9,Assassin iv,DeepCool,COOLER_445104-ig800gg.jpg,https://ic.jimms.fi/product/0/5/445104-ig800gg.jpg,Intel lga2066 / 2011-v3 / 2011 / 1700 / 1200 / 1151 / 1150 / 1155; amd: am5 / am4,,500 ~ 1700 rpm +/- 10 %,,144 x 147 x 164 mm
4,https://www.jimms.fi/fi/Product/Show/193987/pa120-black-1700/thermalright-peerless-assassin-120-black-prosessorijaahdytin-musta,54.9,Peerless assassin 120 black,Thermalright,COOLER_449338-ig800gg.jpg,https://ic.jimms.fi/product/3/1/449338-ig800gg.jpg,Intel: 115x / 2011 / -3 / 2066 / 1200 / 1700; amd: am4 / am5,,1500 rpm +/- 10 % (max),25.6 dba,125 x 135 x 157 mm
5,https://www.jimms.fi/fi/Product/Show/168705/ak-cc1106hp01/akasa-vegas-chroma-am-prosessorijaahdytin,16.9,Vegas chroma am,Akasa,COOLER_317397-ig800gg.jpg,https://ic.jimms.fi/product/9/2/317397-ig800gg.jpg,"Am4, am3+",,500 - 1800 rpm,"32,5 db(a)",120 x 120 x 63 mm
6,https://www.jimms.fi/fi/Product/Show/162180/cr-1100/jonsbo-cr-1100-prosessorijaahdytin,49.9,Cr-1100,Jonsbo,COOLER_284585-ig800gg.jpg,https://ic.jimms.fi/product/8/4/284585-ig800gg.jpg,Lga 1200 / 115x / 775; amd: am4 / am3(+) / am2(+) / fm2(+) / fm1,,600 - 1500 rpm +/- 10 %,18.0 - 31.0 dba,141 x 112 x 165 mm
7,https://www.jimms.fi/fi/Product/Show/168706/ak-cc7139hp01/akasa-vegas-chroma-lg-prosessorijaahdytin,16.9,Vegas chroma lg,Akasa,COOLER_317401-ig800gg.jpg,https://ic.jimms.fi/product/0/8/317401-ig800gg.jpg,"Lga 115x, lga 1200",,500 - 1800 rpm,"32,5 db(a)",120 x 120 x 59 mm
8,https://www.jimms.fi/fi/Product/Show/187839/bk034/be-quiet-pure-rock-lp-prosessorijaahdytin,51.9,Pure rock lp,be quiet!,COOLER_417991-ig800gg.jpg,https://ic.jimms.fi/product/9/8/417991-ig800gg.jpg,1700 / 1200 / 1150 / 1151 / 1155; kiinnityssarjat: intel & amd,100 w,"13,3 / 23,8 / 30,6 db(a)","13,3 / 23,8 / 30,6 db(a)",92 x 92 x 45 mm
9,https://www.jimms.fi/fi/Product/Show/78530/ph-tc12dx/phanteks-ph-tc12dx-cpu-cooler-valkoinen,49.9,Ph-tc12dx cpu cooler - valkoinen,Phanteks,COOLER_75992-ig800gg.jpg,https://ic.jimms.fi/product/9/7/75992-ig800gg.jpg,"Intel socket lga2011, lga115x, lga 1200, lga 1366, lga775 ja amd am2/2+/am3/am4 (vakio taustalevy tarvitaan)",,"2kpl ph-f120hp pwm fan, 120x120x25, ufb-laakeri, 600-1800rpm, 23 - 68.5cfm, 21.9 -27.6dba, 12v/0,18a","2kpl ph-f120hp pwm fan, 120x120x25, ufb-laakeri, 600-1800rpm, 23 - 68.5cfm, 21.9 -27.6dba, 12v/0,18a",126 x 57 x 157mm
10,https://www.jimms.fi/fi/Product/Show/176361/acfre00078a/arctic-freezer-i13-x-prosessorijaahdytin,24.9,Freezer i13 x,ARCTIC,COOLER_356275-ig800gg.jpg,https://ic.jimms.fi/product/7/4/356275-ig800gg.jpg,"Intel 1200, 115x",,"1 x 100mm, 300 - 2000 rpm (pwm-hallittu)","0,3 sone","85,5 x 112 x 137 mm"
