ID,Url,Price,Name,Manufacturer,Image,Image_Url,Cores,Core_Clock,Memory,Interface,Dimensions,TDP
1,https://www.jimms.fi/fi/Product/Show/190850/dual-rtx4070-o12g/asus-geforce-rtx-4070-dual-oc-edition-naytonohjain-12gb-gddr6x,699.9,Geforce rtx 4070 dual - oc edition,Asus,GPU_438137-ig800gg.jpg,https://ic.jimms.fi/product/3/2/438137-ig800gg.jpg,5888,2550 mhz (boost clock),12gb gddr6x,Pcie 4.0,269 x 135 x 52 mm / 2.55 slot,650w
2,https://www.jimms.fi/fi/Product/Show/182495/gv-r675xtaorus-e-12gd/gigabyte-radeon-rx-6750-xt-aorus-elite-naytonohjain-12gb-gddr6,459.9,Radeon rx 6750 xt aorus elite,Gigabyte,GPU_388771-ig800gg.jpg,https://ic.jimms.fi/product/7/8/388771-ig800gg.jpg,2560,2623 mhz,12 gb gddr6,Pci-e 4.0,296 x 117 x 56 mm,650w
3,https://www.jimms.fi/fi/Product/Show/193263/dual-rx7600-o8g-v2/asus-radeon-rx-7600-dual-v2-oc-edition-naytonohjain-8gb-gddr6,319.9,Radeon rx 7600 dual v2 - oc edition,Asus,GPU_445473-ig800gg.jpg,https://ic.jimms.fi/product/7/6/445473-ig800gg.jpg,2048,2715 mhz (boost clock) /  2300 mhz (game clock),8gb gddr6,Pci-e 4.0,205 x 128 x 49 mm / 2.5 slot,550 w
4,https://www.jimms.fi/fi/Product/Show/193021/rtx-4060-ti-gaming-x-8g/msi-geforce-rtx-4060-ti-gaming-x-naytonohjain-8gb-gddr6,499.9,Geforce rtx 4060 ti gaming x,MSI,GPU_444910-ig800gg.jpg,https://ic.jimms.fi/product/1/9/444910-ig800gg.jpg,4352,,8gb gddr6,Pci express® gen 4 x16 (uses x8),247 x 130 x 42 mm,Tbd
5,https://www.jimms.fi/fi/Product/Show/193724/geforce-rtx-4060-gaming-x-8g/msi-geforce-rtx-4060-gaming-x-naytonohjain-8gb-gddr6,399.9,Geforce rtx 4060 gaming x,MSI,GPU_448261-ig800gg.jpg,https://ic.jimms.fi/product/6/8/448261-ig800gg.jpg,3072,2595 mhz,8gb gddr6,Pci express® gen 4 x 8,247 x 130 x 41 mm,550 w
6,https://www.jimms.fi/fi/Product/Show/177011/n730k-2gd3h-lpv1/msi-geforce-gt-730-naytonohjain-2gb-ddr3,70.9,Geforce gt 730,MSI,GPU_360085-ig800gg.jpg,https://ic.jimms.fi/product/8/4/360085-ig800gg.jpg,384,902 mhz (boost),2048mb ddr3,Pci express 2.0,146 x 69 x 39 mm,300w
7,https://www.jimms.fi/fi/Product/Show/195664/rx7700xt-cl-12go/asrock-radeon-rx-7700-xt-challenger-oc-naytonohjain-12gb-gddr6,544.9,Radeon rx 7700 xt challenger oc,ASRock,GPU_459170-ig800gg.jpg,https://ic.jimms.fi/product/7/9/459170-ig800gg.jpg,3456,2854 mhz,12gb gddr6,Pci express 4.0 x16,266 x 130 x 51 mm,750w
8,https://www.jimms.fi/fi/Product/Show/188145/gv-n407tgaming-oc-12gd/gigabyte-geforce-rtx-4070-ti-gaming-oc-naytonohjain-12gb-gddr6x,999.9,Geforce rtx 4070 ti gaming oc,Gigabyte,GPU_422119-ig800gg.jpg,https://ic.jimms.fi/product/1/0/422119-ig800gg.jpg,7680,2640 mhz,12gb gddr6x,Pci-e 4.0,336 x 140 x 58 mm,750w
9,https://www.jimms.fi/fi/Product/Show/196909/rtx-4080-16gb-ventus-3x-e-oc/msi-geforce-rtx-4080-ventus-3x-e-oc-naytonohjain-16gb-gddr6x,1393.9,Geforce rtx 4080 ventus 3x e oc,MSI,GPU_466448-ig800gg.jpg,https://ic.jimms.fi/product/4/1/466448-ig800gg.jpg,9728,2535 mhz,16gb gddr6x,Pci express gen 4,322 x 136 x 62 mm,750w
10,https://www.jimms.fi/fi/Product/Show/195521/proart-rtx4060ti-16g/asus-geforce-rtx-4060-ti-proart-naytonohjain-16gb-gddr6,617.9,Geforce rtx 4060 ti proart,Asus,GPU_458616-ig800gg.jpg,https://ic.jimms.fi/product/1/3/458616-ig800gg.jpg,4352,2535 mhz (boost clock),16gb gddr6,Pcie 4.0,300 x 120 x 50 mm / 2.5 slot,650w
11,https://www.jimms.fi/fi/Product/Show/195836/vcqp400v2-sb/pny-quadro-p400-naytonohjain-2gb-gddr5,153.9,Quadro p400,PNY,GPU_459973-ig800gg.jpg,https://ic.jimms.fi/product/7/6/459973-ig800gg.jpg,256,,2gb gddr5,Pci express 3.0 x16,,
